 A VWat VSTC E_backup_full E_loss_stor_full E_curt_full E_sol_full E_net_loss_full t_full C_elec_full E_demand_full E_net_pump_full
25 25000.0 100000.0 100000.0 148052190.55567074 255197.41286809163 0.0 12105491.273212489 741470.6924071966 51.814125000000104 1217329.3090798443 159161013.72362465 1375214.5916698058
26 25000.0 100000.0 150000.0 148081028.05495667 285149.431641115 0.0 12105491.273212489 740356.1729187451 50.69966700000009 1204056.5986696612 159161013.72362465 1372613.8262778022
27 50000.0 100000.0 50000.0 135891548.39955565 221691.79501210758 0.0 24210982.54642587 719825.4273560953 50.827927000000045 1140486.6881371909 159161013.72362465 1306397.711933769
28 50000.0 100000.0 100000.0 135928279.66466206 256579.0256420917 0.0 24210982.54642587 721669.4618320474 50.94012899999984 1123089.9849440777 159161013.72362465 1312312.5046619577
29 50000.0 100000.0 150000.0 135955517.6814179 286306.3046018909 0.0 24210982.54642587 719180.1996279636 50.885602999999946 1108413.1071116885 159161013.72362465 1304391.6741340572
30 75000.0 100000.0 50000.0 125576696.96668684 223244.35073252546 1795726.4408706825 34520747.37876798 713186.2711071442 51.048356999999896 1069326.9702359496 159161013.72362465 1275369.0394546385
31 75000.0 100000.0 100000.0 123810341.55477391 256894.00186982335 0.0 36316473.819638364 708907.6489266541 51.05780299999992 1040380.3804856223 159161013.72362465 1268589.4851447132
32 75000.0 100000.0 150000.0 123833535.21048853 286842.0318807217 0.0 36316473.819638364 702153.2746295703 51.01366800000005 1020824.5681296268 159161013.72362465 1253499.5398329531
33 100000.0 100000.0 50000.0 120310043.6494011 222711.2421203241 8644282.333160413 39777682.75969119 704001.4433584728 51.71433500000012 1020691.3859745366 159161013.72362465 1254943.293963623
34 100000.0 100000.0 100000.0 118010083.98101734 258073.5396624565 6312265.498032009 42109699.59481973 700696.3125609527 51.516492999999855 990810.6316074748 159161013.72362465 1248716.30534848
35 100000.0 100000.0 150000.0 115705820.03755863 283508.4233266355 3987133.014853788 44434832.07799833 696129.9686143135 50.82646 962356.2815674522 159161013.72362465 1229788.8279033343
36 25000.0 125000.0 50000.0 148030980.73628178 236036.9660072266 0.0 12105491.273212489 739421.3198782252 50.84612299999981 1224246.5259724325 159161013.72362465 1381254.635223933
37 25000.0 125000.0 100000.0 148067702.68902388 270565.968319607 0.0 12105491.273212489 741614.2703079223 50.946138000000246 1210303.8174324513 159161013.72362465 1368814.0525450509
38 25000.0 125000.0 150000.0 148098100.9801284 301157.92581583385 0.0 12105491.273212489 741420.6039152341 51.12918300000001 1197521.422631551 159161013.72362465 1365311.7904463257
39 50000.0 125000.0 50000.0 135907117.55998844 237107.9591683892 0.0 24210982.54642587 719978.423630978 50.856808999999885 1130924.443664791 159161013.72362465 1321635.9064456061
40 50000.0 125000.0 100000.0 135942590.3781001 271804.6066153996 0.0 24210982.54642587 720754.5942972163 50.84105700000009 1115348.0714386306 159161013.72362465 1306468.926031913
41 50000.0 125000.0 150000.0 135970892.13699362 301877.4476818672 0.0 24210982.54642587 718983.5121234688 50.978791 1101228.5785880582 159161013.72362465 1296455.4419826255
42 75000.0 125000.0 50000.0 124421230.16246106 239102.2459464714 626944.5490238351 35689529.27061455 710643.4635133189 50.838248999999905 1053666.0532860162 159161013.72362465 1283880.0802333043
43 75000.0 125000.0 100000.0 123822552.19202384 272428.5492106019 0.0 36316473.819638364 705583.7388372712 50.952874000000065 1029917.4675243539 159161013.72362465 1261957.7522080678
44 75000.0 125000.0 150000.0 123847510.42833859 302424.45417508186 0.0 36316473.819638364 700546.0701859663 51.02156300000024 1011990.8930388116 159161013.72362465 1243822.4218502427
45 100000.0 125000.0 50000.0 119154293.64366736 238054.6929725348 7475799.115835806 40946165.97701647 701391.2040974337 51.279593000000204 1005113.3787937263 159161013.72362465 1262069.015477682
46 100000.0 125000.0 100000.0 116855763.355172 273604.4223619725 5144081.712431307 43277883.38042054 699028.5896176649 51.286381999999776 976294.6775292373 159161013.72362465 1239012.5913804292
47 100000.0 125000.0 150000.0 114551007.7932867 303600.40794091753 2814187.822262616 45607777.27058913 694170.9323192628 52.54667700000027 948074.5168542992 159161013.72362465 1219330.9432040101
