Time TermienWest TermienEast Boxbergheide Winterslag OudWinterslag ZwartbergSouth ZwartbergNWest ZwartbergNEast WaterscheiGarden Total
"2014-02-04 13:00:00" 5167158.837499999 7722258.125 19751307.525 28235720.2 2606481.3113281247 7262629.7375 4619630.0078125 7744852.9375 31693561.05 114803599.73164053
"2014-02-04 14:00:00" 5309396.637499999 7954834.075 20090879.025 28298391.2 2663271.9363281247 7484233.4875 4658170.6578125 7782373.8875 32259612.05 116501162.95664053
"2014-02-04 15:00:00" 5379811.9125 8071246.625 20539265.225 28580600.8 2763011.2363281245 7663883.5875 4774734.2578125 7920718.6875 32468113.85 118161386.18164054
"2014-02-04 16:00:00" 5545795.9125 8142070.325 20805130.725 28923715.5 2850938.286328125 8013746.1375 4888439.2328125 8014369.8375 32637781.65 119821987.60664053
"2014-02-04 17:00:00" 5557484.262499999 8109337.475 21004517.425 28826527.9 2915532.848828125 8231176.9875 4915332.9578125 7995334.2875 32732886.45 120288130.59414053
"2014-02-04 18:00:00" 5552354.562499999 8135598.525 21185656.025 28722901.3 2957526.4238281245 8251782.0375 4964442.0828125 7966677.3375 32771923.05 120508861.34414053
"2014-02-04 19:00:00" 5649029.312499999 8176213.225 21242188.825 28725809.1 3005138.2988281245 8336569.2875 5046074.1328125 7984702.4875 32809647.25 120975371.91914053
"2014-02-04 20:00:00" 5747562.587499999 8108211.175 21144177.125 28825138.3 3084357.0488281245 8564848.4375 5143710.5828125 8007078.9375 32950739.05 121575823.24414054
"2014-02-04 21:00:00" 5908662.362499999 8128954.275 21472200.425 29114565.0 3191467.5488281245 8791670.3625 5291101.1578125 8079029.2375 33709564.65 123687215.01914053
"2014-02-04 22:00:00" 6035907.587499999 8468615.35 22600359.825 29602343.3 3383813.664453125 9202878.8625 5502915.4328125 8330040.7375 33846076.65 126972951.40976553
"2014-02-04 23:00:00" 6300805.846874999 8879729.0 23907932.7 30573979.5 3604344.93046875 9952476.0625 5959750.8828125 8543004.5875 34957904.15 132679927.66015616
"2014-02-05 00:00:00" 6705052.65859375 9258176.0 25050406.3125 31239779.5 3792976.93046875 10308068.1875 6194095.6515625 8705954.2125 35990981.55 137245491.0031249
"2014-02-05 01:00:00" 6881082.28359375 9541204.0375 25957558.7125 31506636.7 4051515.10546875 10829984.9875 6396776.271875 8954096.375 36539572.65 140658427.1234374
"2014-02-05 02:00:00" 6962333.53359375 9573345.4625 26697792.9625 31500593.1 4168166.34296875 11052334.0125 6489100.63125 8807643.75 36618444.35 141869754.1453124
"2014-02-05 03:00:00" 6992980.40078125 9568021.725 26869463.0625 31509212.65 3943327.64453125 11052334.0125 6496433.08046875 8717538.3 36469365.8 141618676.67578116
"2014-02-05 04:00:00" 6986249.2640625 9582490.225 26765861.125 31620708.7 3925208.88203125 11052334.0125 6456692.24921875 8642844.0625 36244239.55 141276628.0703124
"2014-02-05 05:00:00" 6823698.8589844005 9355820.996875 26176287.275 31045154.15 3925208.88203125 11052334.0125 6288103.62421875 8506084.9375 35766947.1 138939639.8371093
"2014-02-05 06:00:00" 6561426.8339844 8994880.559375 25075262.375 30157529.05 3913229.1640625 10908414.275 6085011.24921875 8167211.2 35142716.4 135005681.10664055
"2014-02-05 07:00:00" 6151356.644921901 8505532.103125 23059103.175 28806860.35 3666776.6390625 10572662.325 5699790.72421875 7724334.825 33399125.15 127585541.93632805
"2014-02-05 08:00:00" 5679568.5449219 8124430.528125 20840052.975 27072002.7 3395473.5640625 9807499.575033665 5225485.77421875 7295885.025 31196551.4 118636950.08636172
"2014-02-05 09:00:00" 5229331.0949219 7573856.246875 18966571.775 25707313.05 3132904.2890625 9072168.275033664 4834308.99609375 6890656.025 30208617.45 111615727.20198672
"2014-02-05 10:00:00" 4850407.2199219 6974909.446875 17670158.8 24483772.65 2864657.4640625 8368644.825033665 4615634.65859375 6665827.175 28448974.25 104942986.48948672
"2014-02-05 11:00:00" 4626092.2199219 6693937.246875 17026903.6 23714576.15 2662579.5890625 8375828.6250336645 4477315.58359375 6382307.7 27621507.05 101581047.76448672
"2014-02-05 12:00:00" 4499802.0949219 6566410.346875 17305238.0 23174277.95 2564990.4015625 8110692.675033664 4400461.35859375 6202811.075 27271685.85 100096369.75198671
"2014-02-05 13:00:00" 4491745.0949219 6546079.646875 17335818.2 22365195.95 2755873.6515625 8065030.475033665 4394120.95859375 6187780.175 27107236.45 99248880.60198672
"2014-02-05 14:00:00" 4526722.5699219005 6492957.346875 17442104.3 22310528.95 2776013.7515625 8137100.575033665 4367640.38359375 6169842.775 27094829.05 99317739.70198672
"2014-02-05 15:00:00" 4553651.269921901 6471127.946875 17677178.5 22327661.75 2824948.8765625 8418808.275033664 4358493.53359375 6174332.675 27063121.65 99869324.47698672
"2014-02-05 16:00:00" 4634951.7449219 6522328.846875 17880345.1 22460023.95 2874056.1765625 8522075.725033665 4400509.95859375 6222965.875 27255223.45 100772480.82698672
"2014-02-05 17:00:00" 4629105.644921901 6522464.396875 17959333.8 22446093.55 2914709.2265625 8622191.325033665 4390144.73359375 6232058.125 27367686.05 101083786.85198672
"2014-02-05 18:00:00" 4613860.2199219 6518618.546875 17970496.8 22612811.55 2929992.2765625 8609226.475033665 4400552.80859375 6193125.975 27419983.85 101268668.50198671
"2014-02-05 19:00:00" 4716964.2449219 6530160.496875 17970123.7 22434198.45 2950494.9515625 8413930.225033665 4287377.25859375 6175836.325 27432703.25 100911788.90198672
"2014-02-05 20:00:00" 4710296.9199219 6481628.746875 18250974.9 22554204.45 3013732.8265625 8363809.175033664 4297095.30859375 6229380.075 27615406.05 101516528.45198672
