;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
2014-01-05 01:45:00;;;;;;;;;;;291.15;291.15;291.396327752;291.278467847;291.15;291.49726057;291.15;291.15;291.538618332;291.221665529
2014-01-05 02:00:00;;;;;;;;;;;291.15;291.15;291.315797996;291.225209676;291.15;291.417753134;291.15;291.15;291.459619236;291.168429069
2014-01-05 02:15:00;;;;;;;;;;;291.15;291.15;291.248263884;291.17697816;291.15;291.350924077;291.15;291.15;291.393165683;291.15
2014-01-05 02:30:00;;;;;;;;;;;291.15;291.15;291.189783721;291.15;291.15;291.292913336;291.15;291.15;291.335430909;291.15
2014-01-05 02:45:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.240294555;291.15;291.15;291.283011936;291.15
2014-01-05 03:00:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.190216938;291.15;291.15;291.233074665;291.15
2014-01-05 03:15:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.184659428;291.15
2014-01-05 03:30:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-05 03:45:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-05 04:00:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-05 04:15:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-05 04:30:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-05 04:45:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-05 05:00:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-05 05:15:00;;;;;;;;;;;291.15;291.15;291.15;291.15;290.478261565;291.15;291.15;291.15;291.15;291.15
2014-01-05 05:30:00;;;;;;;;;;;291.15;291.15;291.15;291.15;290.397109645;291.15;291.15;291.15;291.15;291.15
2014-01-05 05:45:00;;;;;;;;;;;291.15;290.492927613;291.15;291.15;290.343837118;291.15;291.15;291.15;291.15;291.15
2014-01-05 06:00:00;;;;;;;;;;;291.15;290.413225511;291.15;291.15;290.292411757;291.15;291.15;291.15;291.15;291.15
2014-01-05 06:15:00;;;;;;;;;;;291.15;290.360085269;291.15;291.15;290.24061225;291.15;291.15;291.15;291.15;291.15
2014-01-05 06:30:00;;;;;;;;;;;291.15;290.308815423;291.15;291.15;290.188463353;291.15;291.15;291.15;291.15;291.15
2014-01-05 06:45:00;;;;;;;;;;;291.15;290.257383362;291.15;291.15;290.136128571;291.15;291.15;291.15;291.15;291.15
2014-01-05 07:00:00;;;;;;;;;;;291.15;290.205577771;291.15;290.681484528;290.083843897;291.15;291.15;291.15;291.15;291.15
2014-01-05 07:15:00;;;;;;;;;;;291.15;290.153444463;291.15;290.616686191;290.031715773;291.15;291.15;291.15;291.15;291.15
2014-01-05 07:30:00;;;;;;;;;;;290.430580066;290.10173206;291.15;290.569882161;289.980427595;291.15;291.15;291.15;291.15;291.15
2014-01-05 07:45:00;;;;;;;;;;;290.348368736;290.05252873;291.15;290.525520071;289.931971078;291.15;291.15;291.15;291.15;291.15
2014-01-05 08:00:00;;;;;;;;;;;290.301188852;290.008828412;291.15;290.485028956;289.889248153;291.15;291.15;291.15;291.15;291.15
2014-01-05 08:15:00;;;;;;;;;;;290.267390217;289.976455944;291.15;290.454163836;289.858007297;291.15;291.15;291.15;291.15;291.15
2014-01-05 08:30:00;;;;;;;;;;;290.246775366;289.957562678;291.15;290.435338176;289.840340591;291.15;291.15;291.15;291.15;291.15
2014-01-05 08:45:00;;;;;;;;;;;290.236267465;289.949458711;291.15;290.42618784;289.833513902;290.714338326;291.15;290.555146394;291.15;291.15
2014-01-05 09:00:00;;;;;;;;;;;290.231374749;289.947621484;291.15;290.422488077;289.832972579;290.694657962;291.15;290.522887828;290.758910402;291.15
2014-01-05 09:15:00;;;;;;;;;;;290.228899651;289.948703089;291.15;290.421134629;289.835345979;290.695389248;291.15;290.518910403;290.743938393;291.15
2014-01-05 09:30:00;;;;;;;;;;;290.23010847;289.953804809;291.15;290.42341745;289.841719684;290.699942036;291.15;290.520354483;290.74869696;291.15
2014-01-05 09:45:00;;;;;;;;;;;290.234741434;289.962523688;291.15;290.429075051;289.851680237;290.706472483;291.15;290.52482007;290.756701182;291.15
2014-01-05 10:00:00;;;;;;;;;;;290.242779156;289.974727829;290.818082739;290.438079316;289.865089026;290.714865968;291.15;290.531931332;290.766502618;291.15
2014-01-05 10:15:00;;;;;;;;;;;290.254663401;289.990775505;290.816334694;290.450863346;289.882300351;290.725799051;291.15;290.542167059;290.778508275;291.15
2014-01-05 10:30:00;;;;;;;;;;;290.27133361;290.011546772;290.83308984;290.468360259;289.904192243;290.740512552;291.15;290.556616857;290.793930318;290.878135994
2014-01-05 10:45:00;;;;;;;;;;;290.291188787;290.035400055;290.852805376;290.48896542;289.929122484;290.757683156;291.15;290.573843404;290.811494529;290.886425581
2014-01-05 11:00:00;;;;;;;;;;;290.312303668;290.060383692;290.872355869;290.510752274;289.955139719;290.775613243;290.8294059;290.59206391;290.829570637;290.907310371
2014-01-05 11:15:00;;;;;;;;;;;290.332401127;290.084204585;290.889476665;290.531444222;289.979951809;290.792201837;290.830484195;290.609114116;290.846121015;290.926856126
2014-01-05 11:30:00;;;;;;;;;;;290.351394355;290.106767502;290.904355028;290.550956314;290.003464902;290.807493867;290.844493071;290.624992083;290.861243104;290.943963182
2014-01-05 11:45:00;;;;;;;;;;;290.36989604;290.128682066;290.917915847;290.569904;290.026290273;290.822198238;290.858513524;290.640372059;290.875686783;290.959281225
2014-01-05 12:00:00;;;;;;;;;;;290.389245503;290.151288284;290.931774404;290.589629956;290.049769727;290.83772319;290.872691707;290.656636682;290.890891181;290.974414372
2014-01-05 12:15:00;;;;;;;;;;;290.407176415;290.172323068;290.943884917;290.607871548;290.071642047;290.851850803;290.884680047;290.67154912;290.904661149;290.987390198
2014-01-05 12:30:00;;;;;;;;;;;290.421475311;290.189577887;290.952200883;290.622419175;290.089700585;290.862400849;290.892425951;290.682915178;290.914832956;290.996252494
2014-01-05 12:45:00;;;;;;;;;;;290.431390517;290.202307064;290.956092566;290.632525064;290.103201523;290.86864378;290.895385845;290.68999498;290.920688824;291.000453925
2014-01-05 13:00:00;;;;;;;;;;;290.436777909;290.210373092;290.955502335;290.638048951;290.112009162;290.870449539;290.893604815;290.692650837;290.922106952;291.000004236
2014-01-05 13:15:00;;;;;;;;;;;290.43856474;290.214710143;290.951417;290.639921842;290.117059411;290.868753647;290.888161575;290.691812621;290.920028541;290.995942404
2014-01-05 13:30:00;;;;;;;;;;;290.436485003;290.2150592;290.943610091;290.637881338;290.118094916;290.863294236;290.878903254;290.687214276;290.914195516;290.988081087
2014-01-05 13:45:00;;;;;;;;;;;290.430124537;290.211013017;290.93169234;290.631516717;290.114710006;290.853658374;290.86549611;290.67843977;290.904197378;290.976059737
2014-01-05 14:00:00;;;;;;;;;;;290.41769156;290.200786546;290.913886275;290.619039457;290.105121123;290.838053494;290.846202912;290.663694232;290.888243012;290.958121613
2014-01-05 14:15:00;;;;;;;;;;;290.399137664;290.184337863;290.890150254;290.600404223;290.089287748;290.816429032;290.82101019;290.642925391;290.866282612;290.934239801
2014-01-05 14:30:00;;;;;;;;;;;290.374295465;290.161505777;290.860318353;290.575446516;290.067050009;290.788614552;290.789771023;290.615961542;290.83814601;290.904258657
2014-01-05 14:45:00;;;;;;;;;;;290.342468865;290.13160007;290.823692266;290.543472941;290.037718929;290.753910343;290.751799315;290.582102031;290.80313342;290.867486894
2014-01-05 15:00:00;;;;;;;;;;;290.303156219;290.094124658;290.779765666;290.503984378;290.00079958;290.711810824;290.706595999;290.540840584;290.760738959;290.823422837
2014-01-05 15:15:00;;;;;;;;;;;290.254011937;290.046739185;290.726186678;290.454637595;289.953952694;290.659966324;290.651812897;290.489827012;290.708612499;290.769717545
2014-01-05 15:30:00;;;;;;;;;;;290.197426472;289.991839021;290.665338479;290.397825236;289.899574656;290.600763183;290.589834376;290.431447277;290.649139829;290.708755907
2014-01-05 15:45:00;;;;;;;;;;;290.141125494;289.937154447;290.604938924;290.341275011;289.845396695;290.54192301;290.528377728;290.373422716;290.590041955;290.648256621
2014-01-05 16:00:00;;;;;;;;;;;290.091632938;289.889213714;290.551503903;290.291512754;289.797947948;290.489965789;290.473957099;290.322273116;290.53783823;290.594735814
2014-01-05 16:15:00;;;;;;;;;;;290.048565311;289.847637361;290.504641868;294.15;289.756849785;290.444504218;290.426178415;290.277611037;290.492140713;290.547801754
2014-01-05 16:30:00;;;;;;;;;;;290.007277437;289.807783986;290.459699729;294.15;289.717461572;290.400889479;290.380385577;290.234787574;290.448299962;290.502800889
2014-01-05 16:45:00;;;;;;;;;;;294.15;294.15;290.416289385;294.15;294.15;290.358737684;290.3361872;294.15;290.405931475;290.459344475
2014-01-05 17:00:00;;;;;;;;;;;294.15;294.15;290.374210249;294.15;294.15;290.317852338;290.293379288;294.15;290.364838171;294.15
2014-01-05 17:15:00;;;;;;;;;;;294.15;294.15;290.333407262;294.15;294.15;290.278182312;290.251903347;294.15;294.15;294.15
2014-01-05 17:30:00;;;;;;;;;;;294.15;294.15;290.293535065;294.15;294.15;294.15;290.211410638;294.15;294.15;294.15
2014-01-05 17:45:00;;;;;;;;;;;294.15;294.15;290.253937255;294.15;294.15;294.15;290.17124147;294.15;294.15;294.15
2014-01-05 18:00:00;;;;;;;;;;;294.15;294.15;290.213912366;294.15;294.15;294.15;290.130691223;294.15;294.15;294.15
2014-01-05 18:15:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;290.089905525;294.15;294.15;294.15
2014-01-05 18:30:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;290.049491132;294.15;294.15;294.15
2014-01-05 18:45:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 19:00:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 19:15:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 19:30:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 19:45:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 20:00:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 20:15:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 20:30:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 20:45:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 21:00:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 21:15:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 21:30:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 21:45:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-05 22:00:00;;;;;;;;;;;291.760994905;294.15;294.15;294.15;291.677276719;294.15;294.15;294.15;294.15;294.15
2014-01-05 22:15:00;;;;;;;;;;;291.518625855;291.73604736;294.15;294.15;291.428775633;294.15;294.15;294.15;294.15;294.15
2014-01-05 22:30:00;;;;;;;;;;;291.399883365;291.492526587;294.15;294.15;291.307950033;294.15;294.15;294.15;294.15;294.15
2014-01-05 22:45:00;;;;;;;;;;;291.308014341;291.37285205;294.15;294.15;291.214672454;294.15;294.15;291.90591712;294.15;294.15
2014-01-05 23:00:00;;;;;;;;;;;291.230936911;291.279126854;294.15;294.15;291.15;294.15;294.15;291.673397771;294.15;294.15
2014-01-05 23:15:00;;;;;;;;;;;291.163669236;291.200390606;294.15;294.15;291.15;294.15;294.15;291.55547828;294.15;294.15
2014-01-05 23:30:00;;;;;;;;;;;291.15;291.15;294.15;294.15;291.15;294.15;291.702359687;291.463081837;294.15;294.15
2014-01-05 23:45:00;;;;;;;;;;;291.15;291.15;294.15;294.15;291.15;294.15;291.455017585;291.385812871;294.15;294.15
2014-01-06 00:00:00;;;;;;;;;;;291.15;291.15;294.15;292.066279737;291.15;294.15;291.332937827;291.318822673;294.15;292.037221745
2014-01-06 00:15:00;;;;;;;;;;;291.15;291.15;294.15;291.843964205;291.15;294.15;291.23801911;291.258947199;294.15;291.812856839
2014-01-06 00:30:00;;;;;;;;;;;291.15;291.15;294.15;291.729228499;291.15;294.15;291.159124054;291.204061596;294.15;291.697496949
2014-01-06 00:45:00;;;;;;;;;;;291.15;291.15;294.15;291.638717592;291.15;294.15;291.15;291.15273236;294.15;291.606611764
2014-01-06 01:00:00;;;;;;;;;;;291.15;291.15;291.957169958;291.562565312;291.15;292.03712305;291.15;291.15;292.073155679;291.530232711
2014-01-06 01:15:00;;;;;;;;;;;291.15;291.15;291.726382527;291.49614054;291.15;291.812253269;291.15;291.15;291.85105811;291.463688305
2014-01-06 01:30:00;;;;;;;;;;;291.15;291.15;291.608463537;291.436423688;291.15;291.696359055;291.15;291.15;291.73618351;291.403932019
2014-01-06 01:45:00;;;;;;;;;;;291.15;291.15;291.515680995;291.38139081;291.15;291.604929756;291.15;291.15;291.645468054;291.34892086
2014-01-06 02:00:00;;;;;;;;;;;291.15;291.15;291.437790407;291.329679981;291.15;291.528000212;291.15;291.15;291.569072036;291.297279191
2014-01-06 02:15:00;;;;;;;;;;;291.15;291.15;291.371463944;291.281822521;291.15;291.462351654;291.15;291.15;291.503825755;291.249528288
2014-01-06 02:30:00;;;;;;;;;;;291.15;291.15;291.314209121;291.237820012;291.15;291.405563778;291.15;291.15;291.447341481;291.205662238
2014-01-06 02:45:00;;;;;;;;;;;291.15;291.15;291.262606992;291.195921288;291.15;291.35426822;291.15;291.15;291.396273755;291.163924163
2014-01-06 03:00:00;;;;;;;;;;;291.15;291.15;291.21374065;291.154328755;291.15;291.305584108;291.15;291.15;291.347758086;291.15
2014-01-06 03:15:00;;;;;;;;;;;291.15;291.15;291.166034641;291.15;291.15;291.257962076;291.15;291.15;291.300257027;291.15
2014-01-06 03:30:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.211625286;291.15;291.15;291.254002574;291.15
2014-01-06 03:45:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.166885948;291.15;291.15;291.209313618;291.15
2014-01-06 04:00:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.166676363;291.15
2014-01-06 04:15:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-06 04:30:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-06 04:45:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-06 05:00:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-06 05:15:00;;;;;;;;;;;291.15;291.15;291.15;291.15;290.535318522;291.15;291.15;291.15;291.15;291.15
2014-01-06 05:30:00;;;;;;;;;;;291.15;291.15;291.15;291.15;290.459324762;291.15;291.15;291.15;291.15;291.15
2014-01-06 05:45:00;;;;;;;;;;;291.15;290.550459855;291.15;291.15;290.408146724;291.15;291.15;291.15;291.15;291.15
2014-01-06 06:00:00;;;;;;;;;;;291.15;290.475817091;291.15;291.15;290.358559762;291.15;291.15;291.15;291.15;291.15
2014-01-06 06:15:00;;;;;;;;;;;291.15;290.425268347;291.15;291.15;290.308665822;291.15;291.15;291.15;291.15;291.15
2014-01-06 06:30:00;;;;;;;;;;;291.15;290.376203443;291.15;291.15;290.258299595;291.15;291.15;291.15;291.15;291.15
2014-01-06 06:45:00;;;;;;;;;;;291.15;290.326776221;291.15;291.15;290.207646195;291.15;291.15;291.15;291.15;291.15
2014-01-06 07:00:00;;;;;;;;;;;291.15;290.276836335;291.15;290.745595413;290.156961498;291.15;291.15;291.15;291.15;291.15
2014-01-06 07:15:00;;;;;;;;;;;291.15;290.226802661;291.15;290.687026189;290.106705221;291.15;291.15;291.15;291.15;291.15
2014-01-06 07:30:00;;;;;;;;;;;290.488705067;290.177366064;291.15;290.643691628;290.057492004;291.15;291.15;291.15;291.15;291.15
2014-01-06 07:45:00;;;;;;;;;;;290.41147009;290.129265661;291.15;290.601254936;290.009957936;291.15;291.15;291.15;291.15;291.15
